% Cell temperature for the location [D1, x=5120.000,y=5120.000]
% Nearest [column, row] indices found= [10,10] (locations [x=5120.000,y=5120.000])
% Time(s) 	 Temperature(K)
0.010 	 300.750
0.020 	 301.001
0.030 	 301.063
0.040 	 300.991
0.050 	 300.829
0.060 	 300.611
0.070 	 300.361
0.080 	 300.095
0.090 	 299.826
0.100 	 299.561
0.110 	 299.306
0.120 	 299.062
0.130 	 298.832
0.140 	 298.616
0.150 	 298.414
0.160 	 298.227
0.170 	 298.053
0.180 	 297.893
0.190 	 297.744
0.200 	 297.608
0.210 	 297.482
0.220 	 297.366
0.230 	 297.259
0.240 	 297.161
0.250 	 297.071
0.260 	 296.988
0.270 	 296.912
0.280 	 296.842
0.290 	 296.778
0.300 	 296.719
0.310 	 296.665
0.320 	 296.615
0.330 	 296.570
0.340 	 296.528
0.350 	 296.490
0.360 	 296.455
0.370 	 296.423
0.380 	 296.394
0.390 	 296.367
0.400 	 296.342
0.410 	 296.319
0.420 	 296.298
0.430 	 296.279
0.440 	 296.262
0.450 	 296.246
0.460 	 296.231
0.470 	 296.218
0.480 	 296.206
0.490 	 296.194
0.500 	 296.184
0.510 	 296.175
0.520 	 296.166
0.530 	 296.158
0.540 	 296.151
0.550 	 296.144
0.560 	 296.138
0.570 	 296.132
0.580 	 296.127
0.590 	 296.123
0.600 	 296.118
0.610 	 296.114
0.620 	 296.111
0.630 	 296.108
0.640 	 296.105
0.650 	 296.102
0.660 	 296.099
0.670 	 296.097
0.680 	 296.095
0.690 	 296.093
0.700 	 296.091
0.710 	 296.090
0.720 	 296.088
0.730 	 296.087
0.740 	 296.085
0.750 	 296.084
0.760 	 296.083
0.770 	 296.082
0.780 	 296.082
0.790 	 296.081
0.800 	 296.080
0.810 	 296.079
0.820 	 296.079
0.830 	 296.078
0.840 	 296.078
0.850 	 296.077
0.860 	 296.077
0.870 	 296.076
0.880 	 296.076
0.890 	 296.076
0.900 	 296.075
0.910 	 296.075
0.920 	 296.075
0.930 	 296.075
0.940 	 296.074
0.950 	 296.074
0.960 	 296.074
0.970 	 296.074
0.980 	 296.074
0.990 	 296.074
1.000 	 296.073
1.010 	 296.073
1.020 	 296.073
1.030 	 296.073
1.040 	 296.073
1.050 	 296.073
1.060 	 296.073
1.070 	 296.073
1.080 	 296.073
1.090 	 296.073
1.100 	 296.073
1.110 	 296.073
1.120 	 296.073
1.130 	 296.073
1.140 	 296.073
1.150 	 296.073
1.160 	 296.073
1.170 	 296.072
1.180 	 296.072
1.190 	 296.072
1.200 	 296.072
1.210 	 296.072
1.220 	 296.072
1.230 	 296.072
1.240 	 296.072
1.250 	 296.072
1.260 	 296.072
1.270 	 296.072
1.280 	 296.072
1.290 	 296.072
1.300 	 296.072
1.310 	 296.072
1.320 	 296.072
1.330 	 296.072
1.340 	 296.072
1.350 	 296.072
1.360 	 296.072
1.370 	 296.072
1.380 	 296.072
1.390 	 296.072
1.400 	 296.072
1.410 	 296.072
1.420 	 296.072
1.430 	 296.072
1.440 	 296.072
1.450 	 296.072
1.460 	 296.072
1.470 	 296.072
1.480 	 296.072
1.490 	 296.072
1.500 	 296.072
1.510 	 296.072
1.520 	 296.072
1.530 	 296.072
1.540 	 296.072
1.550 	 296.072
1.560 	 296.072
1.570 	 296.072
1.580 	 296.072
1.590 	 296.072
1.600 	 296.072
1.610 	 296.072
1.620 	 296.072
1.630 	 296.072
1.640 	 296.072
1.650 	 296.072
1.660 	 296.072
1.670 	 296.072
1.680 	 296.072
1.690 	 296.072
1.700 	 296.072
1.710 	 296.072
1.720 	 296.072
1.730 	 296.072
1.740 	 296.072
1.750 	 296.072
1.760 	 296.072
1.770 	 296.072
1.780 	 296.072
1.790 	 296.072
1.800 	 296.072
1.810 	 296.072
1.820 	 296.072
1.830 	 296.072
1.840 	 296.072
1.850 	 296.072
1.860 	 296.072
1.870 	 296.072
1.880 	 296.072
1.890 	 296.072
1.900 	 296.072
1.910 	 296.072
1.920 	 296.072
1.930 	 296.072
1.940 	 296.072
1.950 	 296.072
1.960 	 296.072
1.970 	 296.072
1.980 	 296.072
1.990 	 296.072
2.000 	 296.072
2.010 	 296.072
2.020 	 296.072
2.030 	 296.072
2.040 	 296.072
2.050 	 296.072
2.060 	 296.072
2.070 	 296.072
2.080 	 296.072
2.090 	 296.072
2.100 	 296.072
2.110 	 296.072
2.120 	 296.072
2.130 	 296.072
2.140 	 296.072
2.150 	 296.072
2.160 	 296.072
2.170 	 296.072
2.180 	 296.072
2.190 	 296.072
2.200 	 296.072
2.210 	 296.072
2.220 	 296.072
2.230 	 296.072
2.240 	 296.072
2.250 	 296.072
2.260 	 296.072
2.270 	 296.072
2.280 	 296.072
2.290 	 296.072
2.300 	 296.072
2.310 	 296.072
2.320 	 296.072
2.330 	 296.072
2.340 	 296.072
2.350 	 296.072
2.360 	 296.072
2.370 	 296.072
2.380 	 296.072
2.390 	 296.072
2.400 	 296.072
2.410 	 296.072
2.420 	 296.072
2.430 	 296.072
2.440 	 296.072
2.450 	 296.072
2.460 	 296.072
2.470 	 296.072
2.480 	 296.072
2.490 	 296.072
2.500 	 296.072
2.510 	 296.072
2.520 	 296.072
2.530 	 296.072
2.540 	 296.073
2.550 	 296.073
2.560 	 296.073
2.570 	 296.073
2.580 	 296.073
2.590 	 296.073
2.600 	 296.073
2.610 	 296.073
2.620 	 296.073
2.630 	 296.073
2.640 	 296.073
2.650 	 296.073
2.660 	 296.073
2.670 	 296.073
2.680 	 296.073
2.690 	 296.073
2.700 	 296.073
2.710 	 296.073
2.720 	 296.073
2.730 	 296.073
2.740 	 296.073
2.750 	 296.073
2.760 	 296.073
2.770 	 296.073
2.780 	 296.073
2.790 	 296.073
2.800 	 296.073
2.810 	 296.073
2.820 	 296.073
2.830 	 296.073
2.840 	 296.073
2.850 	 296.073
2.860 	 296.073
2.870 	 296.073
2.880 	 296.073
2.890 	 296.073
2.900 	 296.073
2.910 	 296.073
2.920 	 296.073
2.930 	 296.073
2.940 	 296.073
2.950 	 296.073
2.960 	 296.073
2.970 	 296.073
2.980 	 296.073
2.990 	 296.073
3.000 	 296.073
3.010 	 296.073
3.020 	 296.073
3.030 	 296.073
3.040 	 296.073
3.050 	 296.073
3.060 	 296.073
3.070 	 296.073
3.080 	 296.073
3.090 	 296.073
